Country Code,Country,State Code,State,District,Annual Replenishable Ground Water Resource,Domestic & Industrial Water Supply,Projected demand for Domestic and Industrial uses upto 2025,Net Current Ground Water Availability,Net Ground Water Availability for Future Irrigation use,Stage of Ground Water Development (%)
1,India,21,Maharashtra,Chandrapur,109415,7172,14344,103770,79764,16
1,India,21,Maharashtra,Dhule,74538,1784,3517,70205,32093,52
1,India,21,Maharashtra,Gadchiroli,96381,2674,5343,91562,65994,25
1,India,21,Maharashtra,Gondia,64457,3397,6793,60611,45030,20
1,India,21,Maharashtra,Hingoli,107779,1804,3607,102390,62412,37
1,India,21,Maharashtra,Jalgaon,143453,6226,9798,136193,29948,81
1,India,21,Maharashtra,Jalna,95760,1295,2571,90506,41081,53
1,India,21,Maharashtra,Kolhapur,124112,1326,2653,117907,68327,41
1,India,21,Maharashtra,Latur,75868,2065,3801,72014,18144,75
1,India,21,Maharashtra,Nagpur,113290,4801,9430,107038,46429,52
1,India,21,Maharashtra,Nanded,141577,3046,6092,134461,84990,35
1,India,21,Maharashtra,Nandurbar,51437,2373,4745,48614,21747,50
1,India,21,Maharashtra,Nashik,202424,3519,6545,191532,82051,58
1,India,21,Maharashtra,Osmanabad,106673,1872,3628,101277,26931,72
1,India,21,Maharashtra,Parbhani,96900,1847,3673,91878,48758,45
1,India,21,Maharashtra,Pune,182927,7067,12837,173304,45714,73
1,India,21,Maharashtra,Raigad,62600,2094,4188,59425,49442,13
1,India,21,Maharashtra,Ratnagiri,48084,1231,2462,45670,39222,11
1,India,21,Maharashtra,Sangli,95405,2803,5000,89480,15871,83
1,India,21,Maharashtra,Satara,108869,4946,9564,103351,23668,73
1,India,21,Maharashtra,Sindudurg,27619,1963,3927,26238,14541,37
1,India,21,Maharashtra,Solapur,167751,4952,9116,159216,39527,77
1,India,21,Maharashtra,Thane,61659,1255,2510,58132,49281,13
1,India,21,Maharashtra,Wardha,87179,3504,7008,82472,41019,46
1,India,21,Maharashtra,Washim,59336,1575,3149,55969,32936,38
1,India,21,Maharashtra,Yavatmal,139315,5746,11492,131890,101013,19
1,India,22,Manipur,Imphal west-i block,5022.46,26,857.16,4520.21,3570.05,2.64
1,India,22,Manipur,Imphal west-ii block,3568.6,4,417.82,3211.74,2781.92,0.5
1,India,22,Manipur,Imphal east-i block,4471.72,2,621.05,4024.54,3397.49,0.2
1,India,22,Manipur,Imphal east-ii block,8300.16,7,542.69,7470.14,6900.45,0.46
1,India,22,Manipur,Thoubal,5463.73,6,700.75,4917.36,4183.61,0.8
1,India,22,Manipur,Kakching block,5728.74,5,413.2,5155.87,4685.67,1.21
1,India,22,Manipur,Bishnupur district,7935.81,10,606.936,7142.23,6505.29,0.56
1,India,22,Manipur,Churachanpur,3520.12,10,449,3168.11,2644.11,2.69
1,India,23,Meghalaya,East khasi hil,37263,6,3576,33537,29961,0.018
1,India,23,Meghalaya,West garo hill,54343,3.55,5799,48909,42959,0.314
