State,District,Semi Critical Block,Critical Block,Over Exploited Block
,Dungarpur,Bichhiwara,Sagwara,
,,Dungarpur,Simalwara,
,,,,
,Jaipur,-,Phagi,Amer
,,-,Dudu,Bairath
,,,,Bassi
,,,,Chaksu
,,,-,Govindgarh
,,,-,Jamwa Ramgarh
,,-,-,Jhotwara
,,-,-,Kotputli
,,,,Sambher
,,-,-,Sanganer
,,-,-,Shahpura
,,-,-,
,Jaisalmer,-,-,Jaisalmer
,,-,-,Sankra
,Jalore,-,-,Ahore
,,-,-,Bhinmal
,,-,-,Jalore
,,-,-,Jaswantpura
,,-,-,Raniwara
,,-,-,Sanchore
,,-,-,Sayla
,Jhalawar,-,Bakani,Manohar Thana
,,-,Dag,Pirawa
,,-,Jhalra Patan,
,,-,Khanpur,
,,-,,
,Jhunjhunu,-,-,Buhana
,,-,-,Chirawa
,,-,-,Jhunjhunu
,,-,-,Khetri
,,-,-,Nawalgarh
,,-,-,Surajgarh
,,-,-,Udaipurwati
,,-,-,
,Jodhpur,Phalodi,Luni,Balesar
,,-,Shergarh,Bhopalgarh
,,-,-,Bilara
,,-,-,Mandore
,,-,-,Osian
,,-,-,
,,-,-,
,Karauli,Nadauti,Sapotra,Hindaun
,,-,-,Karauli
,,-,-,Todabhim
,,-,-,
,Kota,,Sultanpur,Itawa
,,,-,Ladpura
,,,-,Khairabad
,,,,Sangod
,Nagaur,Ladnu,Jayal,Degana
,,-,Makrana,Didwana
,,-,-,Kuchaman
,,-,-,Merta
,,-,-,Mundwa
,,-,-,Parbatsar
,,-,-,Riyan
,,-,-,
,Pali,-,Bali,Jaitaran
,,,Desuri,Kharchi
,,,Pali,Raniwara
,,,Raipur,Sojat
,,,Rohit,Sumerpur
,Rajsamand,-,Railmagra,Amet
,,-,Rajsamand,Bhim
,,-,-,Deogarh
,,-,-,Khamnor
,,-,-,Kumbhalgarh
,Sawaimadhopur,-,Bamanwas,Gangapur
,,-,Bonli,Sawai Madhopur
,,-,Khandar,
,,-,-,Danta Ramgarh
,Sikar,-,-,Dhod
,,-,-,Khandella
,,-,-,Lachhmangarh
,,-,-,Neem Ka Thana
,,-,-,Piprali
,,-,-,Sri Madhopur
,,-,-,
,Sirohi,Abu Road,-,Reodar
,,Pindwara,-,Sheoganj
,,Sirohi,-,
,Tonk,-,Deoli,Uniara
,,,Malpura,
,,,Newai,
,,-,Toda Rai Singh,
,,-,Tonk,
,Udaipur,,Kherwara,Badgaon
,,,Kotra,Bhinder
,,-,Sarada,Girwa
,,-,,Gogunda
,,,,Dhariwayad
,,,,Jhadol
,,,,Malvi
,,,,Salumber
,,,,
Tamil Nadu,Coimbatore,Pongalur,Gudimangalam,Annur
,,,Karamadai,Avinashi
,,,Palladam,Kinathukodavu
,,,Udumalpet,Madukarai
,,-,-,P_N_Palayam
,,-,-,Pollachi_N
,,,,Pollachi_S
,,,,Sarkarsammakulam
,,,,Sultanpet
,,,,Sulur
,,,,Thondamuthur
,Cuddalore,Annagramam,-,
,,Cuddalore,-,
,,Kammapuram,,
,,Kurinjipadi,,
,,Mangalore,,
,,Panruti,,
,,Vridhachalam,-,
,,Nallur,,
,Dharmapuri,,Pennagaram,Dharmapuri
,,-,-,Harur
,,-,-,Karimangalam
,,-,-,Morappur
,,-,-,Nallampalli
,,-,-,Palacode
,,-,-,Pappireddipatti
,Dindigul,,Nilakkottai,Attur
,,,Palani,Batlagundu
,,-,-,Dindigul
